"id";"CIF/NIF/NIE";"No Identificacion RII";"Titular";"Denominacion/Rotulo del establecimiento";"Direccion";"Municipio";"Localidad";"Provincia";"CP";"Telefono";"Email";"Fax";"URL";"Actividad Principal";"Descripcion Actividad Principal";"Actividades Secundarias";"Descripcion Actividades Secundarias"
"1380";"B71296388";"15-A-101-00040607";"EMBUTIDOS HORTANCO SL";"EMBUTIDOS HORTANCO SL";"PG IND LA NAVA CALLE G NAVE 16";"TAFALLA";"Tafalla";"Navarra";"31300";"948700428";"asarnago@embutidoshortanco.com";"948700428";;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1381";"15644421M";"15-A-101-00040621";"IZCO LIZAN JAVIER";"IZCO LIZAN, JAVIER";"Av. Estella, 4";"TAFALLA";"Tafalla";"Navarra";"31300";"700993";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1382";"B31689052";"15-A-101-00040623";"CARNICERIA RUBEN VILLAR SL";"CARNICERIA RUBEN VILLAR, S.L.";"Aguardenterias, 7";"LERÍN";"Lerín";"Navarra";"31260";"948530148";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1383";"B31142920";"15-A-101-00040635";"HERMANOS PERNAUT SL";"HERMANOS PERNAUT, S.L.";"Av. Baja Navarra, 17";"TAFALLA";"Tafalla";"Navarra";"31300";"700690";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1384";"E31163314";"15-A-101-00040638";"CARASATORRE IMAZ J Y CARASATORRE NAGORE F J L Y S";"CARASATORRE IMAZ, J. RAMON Y OTROS, S.I.";"Maiza, 8";"ETXARRI-ARANATZ";"Etxarri-Aranatz";"Navarra";"31820";"570036";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1385";"b71000574";"15-A-101-00040734";"EMBUTIDOS JUAN FLORES SL";"EMBUTIDOS JUAN FLORES, S.L.";"Pol. Ind. Arbizu";"ARBIZU";"Arbizu";"Navarra";"31839";"948460499";;"948461507";;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1386";"15741061E";"15-A-101-00040884";"ESQUIROZ IBAñEZ JOSE MARIA";"ESQUIROZ IBAÑEZ, JOSE Mª";"Fueros, 2";"TAFALLA";"Tafalla";"Navarra";"31300";"700188";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1387";"B31173735";"15-A-101-00040892";"PRIETO IRAZOQUI FAUSTO Y JUAN ANTONIO SL";"PRIETO IRAZOQUI FAUSTO Y JUAN ANTONIO, S.L.";"Eztegara, 3";"BERA";"Bera";"Navarra";"31780";"948630088";"errotazar@telefonica.net";"948631057";;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1388";"E31160187";"15-A-101-00041237";"BILBAO EGUREN MV MOLINERO NUñEZ C Y S Y OSES CORTE";"MOLINERO HERMANOS";"Pio Loperena, 20";"BURLADA/BURLATA";"Burlada/Burlata";"Navarra";"31600";"232013";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1389";"16539086Q";"15-A-101-00041282";"DOMAICA GOMEZ GLORIA";"DOMAICA GOMEZ, GLORIA";"Alta, s/n";"LAPOBLACIÓN";"Meano ";"Navarra";"31227";"948659007";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1390";"E31216237";"15-A-101-00041362";"TRES MARIN FRANCISCO JAVIER Y PEDRO LUIS";"HERMANOS TRES MARIN, S.I.";"San Bartolomé";"ANDOSILLA";"Andosilla";"Navarra";"31261";"674018";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1391";"B31780000";"15-A-101-00041370";"KATEALDE ARTESANOS SL";"KATEALDE ARTESANOS, S.L.";"Ctra. San Sebastián km 5, Bº Sorozarreta";"ALTSASU/ALSASUA";"Altsasu/Alsasua";"Navarra";"31800";"948468223";"informacion@katealde.com";"948563205";;"10.12";"Procesado y conservación de volatería";;
"1392";"E31201726";"15-A-101-00041420";"IRIGOYEN MARTINEZ FELIX ANGEL Y JOSE MIGUEL";"IRIGOYEN CARLOS, JOSE MIGUEL";"Romero, 15";"LERÍN";"Lerín";"Navarra";"31260";"530496";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1393";"B31583412";"15-A-101-00041479";"CARNICERIAS SOTOMART SL";"CARNICERIAS SOTOMART, S.L.";"Pol. Industrial, c/D, nº 8";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";"948150840";;"948150870";;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1394";"A31378904";"15-A-101-00041528";"PRECOCINADOS CORELLA SAU";"NATUR ALL BBVV 2018 SLU";"Prol. Santa Bárbara, s/n";"CORELLA";"Corella";"Navarra";"31591";"948401959";"precosa@precosa.e.telefonica.net";"948780483";;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1395";"B31388309";"15-A-101-00041550";"ARTXUETA SL";"ARTXUETA, S.L.";"Aralar, 41";"LEKUNBERRI";"Lekunberri";"Navarra";"31870";"948604567";"etxapea@gmail.com";;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1396";"B31682461";"15-A-101-00041559";"CARNICAS ARRIETA SL";"CARNICAS ARRIETA, S.L.";"San Esteban, s/n";"ESTERIBAR";"Zubiri ";"Navarra";"31630";"948304009";"info@embutidosarrieta.com";"948304009";;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1397";"B31482854";"15-A-101-00041662";"PRECOCINADOS Y CASQUERIAS QUINMAR SL";"QUINMAR, S.L.";"Polígono La Alberguería, s/n";"VIANA";"Viana";"Navarra";"31230";"948446340";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1398";"16544203G";"15-A-101-00041690";"ALONSO GARCIA ANA MARIA";"ALONSO GARCIA, ANA Mª";"Santas Reliquias, 5 bajo";"SAN ADRIÁN";"San Adrián";"Navarra";"31570";"693556";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1399";"B31545296";"15-A-101-00041722";"NAVARRA DE EMBUTIDOS S.L.";"NAVARRA DE EMBUTIDOS, S.L.";"Prado, s/n";"LAPOBLACIÓN";"Meano ";"Navarra";"31227";"948659066";"luis@nadeembutidos.jazztel.es";"948659057";;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1400";"A31631518";"15-A-101-00041918";"M. ETXENIKE S.A.";"M. ETXENIKE SAL";"Polígono Industrial Urrobi, s/n";"ERRO";"Aurizberri/Espinal";"Navarra";"31694";"690411";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1401";"A31639057";"15-A-101-00041919";"CARNICAS ARROBI SAL";"CARNICAS ARROBI, S.A.L.";"Pol. Industrial, s/n";"AURITZ/BURGUETE";"Auritz/Burguete";"Navarra";"31640";"948760033";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1402";"33425186E";"15-A-101-00041977";"URRUTIA OLLO IñIGO";"IÑIGO URRUTIA OLLO";"Dos Hermanas, 9";"IRURTZUN";"Irurtzun";"Navarra";"31860";"948500086";"info@urrutiaenea.com";;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1403";"B31734841";"15-A-101-00041988";"CARNICAS ERZABAL SL";"CARNICAS ERZABAL, S.L.";"Paseo Sarasate, 19 -2º";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31011";"291835";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1404";"B31549983";"15-A-101-00042022";"COMERCIAL LEFRAMA SL";"COMERCIAL LEFRAMA, S.L.";"Pol. Ind. Canraso Vial B, 29";"TUDELA";"Tudela";"Navarra";"31500";"948402677";"comercialleframa@telefonica.net";"948822225";;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1405";"B31734502";"15-A-101-00042082";"EMBUTIDOS PAGOLA SL";"EMBUTIDOS PAGOLA, S.L.";"Pº Industrial Alkaiga";"LESAKA";"Lesaka";"Navarra";"31770";"948630054";"embutidospagola@telefonica.net";"948625539";;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1406";"B31867609";"15-A-101-00042170";"CARNICAS LASARTE SL";"CARNICAS LASARTE, S.L.";"Aralar, 9";"LEKUNBERRI";"Lekunberri";"Navarra";"31870";"948504157";"germantxo@hotmail.com";;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1407";"B31673429";"15-A-101-00042184";"CARNICERIA Y PRODUCCIONES CARNICAS HERMANOS BONEL SERRANO SL";"CARNICERIAS HERMANOS BONEL, S.L.";"C/ Camino del Prado, 15";"ABLITAS";"Ablitas";"Navarra";"31523";"948813307";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1408";"44636353T";"15-A-101-00042229";"ALDAZ IRAURGUI ION";"ION ALDAZ IRAURGUI";"Sagarmiñeta, 5 bajo";"ETXARRI-ARANATZ";"Etxarri-Aranatz";"Navarra";"31820";"948460390";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1409";"B31920903";"15-A-101-00042230";"LAKET ARTESANOS SL";"LAKET ARTESANOS, S.L.";"Pº Ind. Arbizu 2, C/E, Parc 10";"ARBIZU";"Arbizu";"Navarra";"31839";"948461882";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1410";"B31893399";"15-A-101-00042294";"EMBUTIDOS GARRO SL";"EMBUTIDOS GARRO SL";"POLIGONO FUENTE DEL REY 10 BIS";"TAFALLA";"Tafalla";"Navarra";"31300";"948115671";"embutidosgarro@hotmail.es";;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1411";"A60661162";"15-A-102-00041133";"COPESCO SA";"COPESCO SIF, S.A.";"Cra. del Villar, s/n";"CORELLA";"Corella";"Navarra";"31591";"780259";;;;"10.22";"Fabricación de conservas de pescado";;
"1412";"B31249998";"15-A-102-00041318";"CONSERVAS VITORI SL";"CONSERVAS VITORI, S.L.";"Joaquín Mª Gastón, s/n";"LOS ARCOS";"Los Arcos";"Navarra";"31210";"948640741";"pimientosyesparragos@hotmail.com";;;"10.22";"Fabricación de conservas de pescado";;
"1413";"B31423908";"15-A-102-00041522";"BACALAO GRAN SOL SL";"BACALAO GRAN SOL, S.L.";"Pol. Industrial, s/n";"AOIZ/AGOITZ";"Aoiz/Agoitz";"Navarra";"31430";"336090";;;;"10.22";"Fabricación de conservas de pescado";;
"1414";"A31098445";"15-A-102-00041525";"BRI SA";"BRI, S.A.";"Pº Ind. Comarca 2, calle B nº 23";"GALAR";"Esquíroz";"Navarra";"31191";"241762";;;;"10.22";"Fabricación de conservas de pescado";;
"1415";"B31229321";"15-A-102-00041629";"HERMANOS ALDAY SL";"HERMANOS ALDAY, S.L.";"Pol. Tallunche - c/C, 24";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";"312600";;;;"10.22";"Fabricación de conservas de pescado";;
"1416";"B20339768";"15-A-102-00041878";"SALAZONES UDANA SL";"SALAZONES UDANA, S.L.";"Pol. Alkaiaga-C/Barnata, nº 8, pabellón 23";"LESAKA";"Lesaka";"Navarra";"31789";"948631536";"idoia@ugaldea.com";;;"10.22";"Fabricación de conservas de pescado";;
"1417";"E31643109";"15-A-102-00041913";"BARCENA GARCIA ARANZAZU ECHEVERE JIMENEZ JOSE MARIA Y FERNANDEZ BARCENA MARIA TERESA";"PESCADOS BIDEGAIN, S.I.";"Pol. Industrial Ordoki";"BAZTAN";"Arizkun";"Navarra";"31713";"606585163";;"948453196";;"10.22";"Fabricación de conservas de pescado";;
"1418";"B31458813";"15-A-102-00041936";"PESCAIRUñA SL";"PESCA IRUÑA, S.L.";"Pol. Agustinos, Parc. D-19 bis";"ORKOIEN";"Orkoien";"Navarra";"31160";"302103";;;;"10.22";"Fabricación de conservas de pescado";;
"1419";"A31083025";"15-A-102-00042019";"BACALAOS SAMPER SA";"BACALAO SAMPER, S.A.U.";"Pol. Industrial Areta, C/ Ezponda, 13";"BAZTAN";"Uharte";"Navarra";"31620";"330912";;;;"10.22";"Fabricación de conservas de pescado";;
"1420";"A31219967";"15-A-102-00042069";"BACALAOS EGUILLOR SA";"BACALAOS EGUILLOR, S.A.";"Paraje La Playa, s/nº";"OLLO";"Beasoain-Egillor";"Navarra";"31172";"328112";;;;"10.22";"Fabricación de conservas de pescado";;
"1421";"B31134489";"15-A-102-00042075";"PESCADOS OTEIZA SL";"PESCADOS OTEIZA, S.L.";"Polig. Soto de Aizoain, s/n";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31011";"303669";;;;"10.22";"Fabricación de conservas de pescado";;
"1422";"B31458813";"15-A-102-00042077";"PESCAIRUñA SL";"PESCA IRUÑA, S.L.";"Soto de Aizoain, s/nº (Mercairuña)";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31011";"302158";;;;"10.22";"Fabricación de conservas de pescado";;
"1423";"B31285786";"15-A-102-00042078";"PESCADOS GJA PAMPLONA SOCIEDAD LIMITADA";"PESCADOS G.J.A. PAMPLONA, S.L.";"Soto de Aizoain, s/nº (Mercairuña)";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31011";"303597";;;;"10.22";"Fabricación de conservas de pescado";;
"1424";"B31038458";"15-A-102-00042079";"DISTRIBUIDORA DE CONGELADOS GUERENDIAIN SL";"DIST. DE CONGELADOS GUERENDIAIN, S.L.";"Tafalla, 36";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31011";"303592";;;;"10.22";"Fabricación de conservas de pescado";;
"1425";"B31648983";"15-A-102-00042080";"PESCADOS VALDIZARBE SL";"PESCADOS VALDIZARBE, S.L.";"Soto de Aizoain, s/nº";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31011";"303616";;;;"10.22";"Fabricación de conservas de pescado";;
"1426";"B31136682";"15-A-102-00042081";"PESCADOS CARIDAD SL";"PESCADOS CARIDAD, S.L.";"Soto de Aizoain, s/nº";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31011";"303659";;;;"10.22";"Fabricación de conservas de pescado";;
"1427";"B20665097";"15-A-102-00042161";"BACALAOS ELKANO SL";"BACALAOS ELKANO, S.L.";"Polígono Industrial, s/n";"LEKUNBERRI";"Lekunberri";"Navarra";"31870";"948507319";;;;"10.22";"Fabricación de conservas de pescado";;
"1428";"B31770803";"15-A-102-00042297";"DELICONSERVAS MEDRANO SL";"CONGELADOS ANDINO ESPAÑOLES SL";"Poligono Industrial Lekumberri parcela 24";"LEKUNBERRI";"Lekunberri";"Navarra";"31870";"948604546";;;;"10.22";"Fabricación de conservas de pescado";;
"1429";"B22386841";"15-A-102-00042302";"CAVIAR PIRINEA SL";"CAVIAR PIRINEA SL - YESA";"Ctra. Javier km. 1";"YESA";"Yesa";"Navarra";"31410";"948884368";"contabilidad@caviarpirinea.com";;"www.caviarpirinea.com";"10.21";"Procesado de pescados, crustáceos y moluscos";;
"1430";"B31521503";"15-A-103-00040254";"ACEITUNAS LA GUIPUZCOANA SLL";"ACEITUNAS LA GUIPUZCOANA, S.L.L.";"Ermitapea, 7";"ANSOÁIN/ANTSOAIN";"Ansoáin/Antsoain";"Navarra";"31013";"948141394";"laguipuzcoana@aceiturasguipuzcoana.com";;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1431";"F31143837";"15-A-103-00040615";"SAT NUMERO 424 NA ENDINAVA";"S.A.T. ENDINAVA, Nº 424 NA";"Camino de la Presa, s/n";"SARTAGUDA";"Sartaguda";"Navarra";"31589";"948667048";"export@endinava.com";;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1432";"B31134745";"15-A-103-00040631";"CEBOLLAS MARCHITE, S.L.";"CEBOLLAS MARCHITE";"Pablo Sarasate, 54";"FUSTIÑANA";"Fustiñana";"Navarra";"31510";"948840053";"administracion@satmarchite.com";"948840053";;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1433";"F31099302";"15-A-103-00040686";"AGRUPACION AGRICOLA MENDAVIESA SCL";"AGRUP. AGRICOLA MENDAVIESA";"Cra. Lodosa, s/n";"MENDAVIA";"Mendavia";"Navarra";"31587";"685546";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1434";"A31115637";"15-A-103-00040750";"FRUTAS SHEILA SA";"FRUTAS SHEILA, S.A.";"Altxutxate, 24";"BAZTAN";"Uharte";"Navarra";"31620";"330711";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1435";"B26126425";"15-A-103-00040767";"FRUTAS MICERSA SL";"FRUTAS MICERSA, S.L.";"Avda. San Juan, s/n";"MILAGRO";"Milagro";"Navarra";"31320";"948861175";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1436";"B31470289";"15-A-103-00040768";"FRUTAS KABILA SL";"FRUTAS KABILA, S.L.";"Barranco, 15";"SARTAGUDA";"Sartaguda";"Navarra";"31589";"667024";"d@d.d";;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1437";"B31870009";"15-A-103-00040782";"PATATAS GASTAMINZA SL";"PATATAS GASTAMINZA, S.L.";"Barrio Estación, s/n";"OLAZTI/OLAZAGUTÍA";"Olazti/Olazagutía";"Navarra";"31809";"562528";;;;"10.31";"Procesado y conservación de patatas";;
"1438";"F31437239";"15-A-103-00040794";"SAT NUMERO 562 NA FRUTAS Y VERDURAS CASTEL RU IZ";"S.A.T. 562 FRUTAS Y VERDURAS CASTELL RUIZ";"Cra. Cabanillas, 1";"TUDELA";"Tudela";"Navarra";"31500";"948820081";"CONTACTO@CASTEL-RUIZ.COM";;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1439";"B31807902";"15-A-103-00040802";"PATATAS CORRES SL";"PATATAS CORRES, S.L.";"Paraje Las Eras";"MARAÑÓN";"Marañón";"Navarra";"31227";"444087";;;;"10.31";"Procesado y conservación de patatas";;
"1440";"E31146624";"15-A-103-00040806";"FLAñO GALILEA MARIA ASUNCION Y MORENO AMATRIA FERMIN LUIS";"MORENO AMATRIA, FELIX Y FERMIN";"Pol. Ind. La Cerradilla, s/n";"SARTAGUDA";"Sartaguda";"Navarra";"31589";"667077";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1441";"F31540552";"15-A-103-00040815";"SAT NUMERO 587 NA FRUHORNA";"FRUHORNA S.A.T. Nº 587 NA";"Av. del Carmen, 17-19";"RIBAFORADA";"Ribaforada";"Navarra";"31550";"819411";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1442";"B31725146";"15-A-103-00040829";"FRUTAS Y VERDURAS SANCHEZ ECHAVE SL";"FRUTAS Y VERD. SANCHEZ ECHAVE, S.L.";"Blanca de Navarra, s/n";"TUDELA";"Tudela";"Navarra";"31500";"820556";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1443";"B31007560";"15-A-103-00040833";"LA MILAGRESA SOLA Y CIA SL";"LA MILAGRESA, S.L.";"Pascual Madoz, 8";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31011";"233343";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1444";"B31676596";"15-A-103-00040835";"FRUTAS Y HORTALIZAS HNOS HUGUET PEREZ SL";"FRUTAS Y HORT. HNOS. HUGUET PEREZ, S.L.";"Pº Industrial Castellar, s/n";"RIBAFORADA";"Ribaforada";"Navarra";"31550";"864006";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1445";"B31118573";"15-A-103-00040846";"AJOS IZQUIERDO SL";"AJOS IZQUIERDO, S.L.";"Mediodia, 16";"BERRIOPLANO";"Aizoáin/Aitzoain";"Navarra";"31195";"948303647";"ajos.izquierdo@hotmail.com";"948301223";;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1446";"B31007560";"15-A-103-00040847";"LA MILAGRESA SOLA Y CIA SL";"LA MILAGRESA, S.L.";"Alfonso El Batallador, 35";"SANGÜESA/ZANGOZA";"Sangüesa/Zangoza";"Navarra";"31400";"870256";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1447";"16504611H";"15-A-103-00040851";"REMIREZ MARTINEZ JESUS MARIA";"REMIREZ MARTINEZ, JESUS Mª";"Av. de la Ribera, 76";"LODOSA";"Lodosa";"Navarra";"31580";"693007";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1448";"F31207681";"15-A-103-00040852";"SAT NUMERO 414 NA MOROTOS";"SAT Nº 414 NA MOROTOS";"Travesía Aragón, s/nº";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";"750307";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1449";"B31437064";"15-A-103-00040905";"FABRICADOS CHISCO SL";"FABRICADOS CHISCO, S.L.";"Cra. Sartaguda, 12";"LODOSA";"Lodosa";"Navarra";"31580";"693838";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1450";"B31423791";"15-A-103-00040908";"CONSERVAS TEO SAN MARCELINO SL";"CONS. TEO SAN MARCELINO, S.L.";"Estella, 12";"AZAGRA";"Azagra";"Navarra";"31560";"696162";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1451";"B31157035";"15-A-103-00040961";"EL ESCOLAR SL";"EL ESCOLAR, S.L.";"Arenal, 3";"SAN ADRIÁN";"San Adrián";"Navarra";"31570";"948670412";"info@conservasescolar.es";"948696477";;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1452";"B31812688";"15-A-103-00040985";"ALIMENTOS CONGELADOS BARCOS SL";"ALIMENTOS CONGELADOS BARCOS, S.L.";"Cra. Marcilla, km 10,9";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";"757200";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1453";"B31163892";"15-A-103-00041048";"ANKO SL";"ANKO, S.L.";"C/ XIMENEZ DE RADA 20";"CADREITA";"Cadreita";"Navarra";"31515";"948836110";"lourdes@anko.es";;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1454";"B31264369";"15-A-103-00041107";"CONSERVAS PERON SL";"CONSERVAS PERON, S.L.";"Av. Navarra, 42 bajo";"LODOSA";"Lodosa";"Navarra";"31580";"948693401";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1455";"A31222250";"15-A-103-00041126";"CONSERVAS PALACIO SA";"CONSERVAS PALACIO, S.A.";"Mayor, 12";"MENDAVIA";"Mendavia";"Navarra";"31587";"948695100";;"948685065";;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1456";"F31111693";"15-A-103-00041138";"SAT NUMERO 204 SARDA";"S.A.T. LA SARDA Nº 204";"Cr.Ancín-S. Adrian,km. 37,7";"LERÍN";"Lerín";"Navarra";"31260";"530364";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1457";"B31806441";"15-A-103-00041140";"ALIUM ALMACENES Y DISTRIBUCION SL";"ALIUM ALMACENES Y DISTRIBUCION, S.L.";"Avda. del Salvador, s/n";"FALCES";"Falces";"Navarra";"31370";"734270";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1458";"B71281372";"15-A-103-00041146";"CAMBRA SELECCION SLU";"CAMBRA SELECCION";"Navarra 2, Bajo 3";"CADREITA";"Cadreita";"Navarra";"31515";"948836100";"justo@conservasferba.com";"406521";;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1459";"B31537756";"15-A-103-00041166";"CONSERVAS MELETA SL";"CONSERVAS MELETA, S.L.";"Cra. Logroño, 136";"MENDAVIA";"Mendavia";"Navarra";"31587";"948695306";;"948695306";;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1460";"A31146749";"15-A-103-00041168";"HIJOS DE VICTORIANO SALCEDO SA";"HIJOS DE V. SALCEDO, S.A.";"Pol. Industrial";"SAN ADRIÁN";"San Adrián";"Navarra";"31570";"948670008";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1461";"E31132236";"15-A-103-00041200";"BENITO MONTON PEDRO Y RUIZ MARTINEZ JOSE ANGEL";"FRUTAS BENITO RUIZ";"Diputación, 6";"SARTAGUDA";"Sartaguda";"Navarra";"31589";"697321";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1462";"A31241110";"15-A-103-00041248";"ANGEL SARASA E HIJOS SA";"ANGEL SARASA E HIJOS, S.A.";"Industrial 5, Parc. 6, Sector 4, parcelas 697 y 696";"ANDOSILLA";"Andosilla";"Navarra";"31261";"674500";"nodisponible@nodisponible.es";"690176";;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1463";"B31414998";"15-A-103-00041249";"BEOLA SL";"BEOLA, S.L.";"Mayor, s/n";"BAZTAN";"Almandoz";"Navarra";"31796";"948585002";"beola@beola.com";"948585360";;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1464";"B31616253";"15-A-103-00041283";"CONSERVAS JUANCHU SL";"CONSERVAS JUANCHU, S.L.";"Sierra de Urbasa, 2";"MENDAVIA";"Mendavia";"Navarra";"31587";"695004";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1465";"B31764517";"15-A-103-00041292";"CONSERVAS ARTESANAS INMA SL";"CONSERVAS ARTESANAS INMA, S.L.";"Gayarre, 21";"MENDAVIA";"Mendavia";"Navarra";"31587";"655629";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1466";"B31895873";"15-A-103-00041304";"FLORETTE HORTÍCOLA NAVARRA SL";"VEGETALES DE NAVARRA SLU";"Pol. Ind El Olivo, C/2 nº 1";"MILAGRO";"Milagro";"Navarra";"31320";"948409200";"aayalam@florette.es";"948409074";;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1467";"B31265903";"15-A-103-00041341";"FINCA EL CASCAJO SL";"FINCA EL CASCAJO, S.L.";"Cra. Estella, km. 29";"CÁRCAR";"Cárcar";"Navarra";"31579";"389001";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1468";"B31128317";"15-A-103-00041342";"CONSERVAS ALLO SL";"CONSERVAS ALLO, S.L.";"Camino Parte la Cruz, s/n";"ALLO";"Allo";"Navarra";"31262";"948523311";"conservasallo@hotmail.com";"948523311";;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1469";"E31247273";"15-A-103-00041343";"AHECHU OZCOIDI HUMBERTO Y TABAR GURPEGUI JC Y MA";"PATATAS ZUBIONDO, S.C.I.";"Santa Eulalia, 16";"BERRIOPLANO";"Berriosuso/Berriogoiti";"Navarra";"31195";;;;;"10.31";"Procesado y conservación de patatas";;
"1470";"E31261803";"15-A-103-00041389";"LANDA RUIZ DE LARRINAGA MODESTO, OLGA Y ROBER TO";"CONSERVAS LARRINAGA";"La Parada, s/n";"LOS ARCOS";"Los Arcos";"Navarra";"31210";"441033";;;;"10.39";"Otro procesado y conservación de frutas y hortalizas";;
"1471";"B71026033";"15-A-103-00041532";"PARAFRES ALLI SL";"PARAFRES ALLI, S.L.";"Mayor,117";"MURILLO EL FRUTO";"Murillo el Fruto";"Navarra";"31313";"948725529";;;;"10.31";"Procesado y conservación de patatas";;
